userId,password,userLevel,sex,phoneNumber,loginLicense,rechargeAmount,resume,age,height,weight,chest,waist,hip,instructorMoney
I1001,123456,Junior,Male,51578153967,true,25863.03,"Xiaoxuheng, the pride of Koreans!",70,188.0,78.16,95.9,63.9,101.9,226.13
I1002,123456,Junior,Female,49765868657,true,23465.04,Get stronger!,35,160,52.21,81.6,54.4,86.72,309.86
I1003,123456,Junior,Male,93458181636,true,25317.62,"Song Bao, my superman!",27,188,74.3,95.88,63.92,101.9,315.03
I1004,123456,Senior,Male,31486671365,true,53265.19,"HIT, YYDS",74,176,73.32,89.76,59.84,95.39,451.63
I1005,123456,Junior,Female,41825819265,true,21187.93,Wuhu!Take off!,63,151,43.21,77.01,51.34,81.84,213.72
I1006,123456,Junior,Female,17925144131,true,20452.55,"Song Bao, my superman!",41,170,60.45,86.7,57.8,92.14,219.81
I1007,123456,Senior,Male,11332199159,true,54360.51,"Xiaoxuheng, the pride of Koreans!",62,171,63.94,87.21,58.14,92.68,433.66
I1008,123456,Senior,Female,84444789556,true,53998.76,Damn it! Get thinner!,62,170,61.42,86.7,57.8,92.14,406.04
I1009,123456,Senior,Male,64727678672,true,53383.62,Get stronger!,70,165,58.01,84.15,56.1,89.43,330.8
I1010,N8WeiaRykmnnz3b,Junior,Female,52223983783,true,25426.36,Is there anyone stronger than me?,65,157,47.58,80.07,53.38,85.09,365.72
I1011,YcWyY1kA1EIzM,Junior,Female,61564588692,true,25247.34,"HIT, YYDS",23,151,47.01,77.01,51.34,81.84,396.81
I1012,DQdTESGP6EOdkO,Senior,Male,82232942953,true,54736.75,"Song Bao, my superman!",23,169,54.87,86.19,57.46,91.6,353.85
I1013,iY1g2jpeWIGo,Normal,Male,27722814674,true,4509.32,Wuhu!Take off!,51,183,70.72,93.33,62.22,99.19,124.81
I1014,2LxMeWEhya,Senior,Female,87424266698,true,55045.74,"HIT, YYDS",77,154,43.39,78.54,52.36,83.47,375.62
I1015,OtlAEf1,Normal,Female,41815538433,true,3532.42,Is there anyone stronger than me?,41,168,54.4,85.68,57.12,91.06,106.82
I1016,cfw91DI,Junior,Male,12328631379,true,23102.32,Is there anyone stronger than me?,74,173,54.64,88.23,58.82,93.77,204.53
I1017,x2uV3GbQYJaU7U7,Senior,Male,51639673943,true,55532.68,"HIT, YYDS",37,173,64.29,88.23,58.82,93.77,421.93
I1018,AcVm77wq7uef,Normal,Male,74939598997,true,2997.18,"Song Bao, my superman!",56,166,52.88,84.66,56.44,89.97,39.22
I1019,KTUfKNUtUhIfm1,Normal,Female,36531699738,true,2036.24,"Xiaoxuheng, the pride of Koreans!",60,172,69.65,87.72,58.48,93.22,151.22
I1020,S4x3yyfNx,Normal,Female,63222961493,true,3118.55,"HIT, YYDS",71,156,54.78,79.56,53.04,84.55,188.13
I1021,Ot3c8s,Normal,Male,94811515165,true,2040.23,"HIT, YYDS",74,185,76.75,94.35,62.9,100.27,5.17
I1022,HmMe17UQ3,Normal,Female,15664878313,true,3336.12,Does anyone work out with me?,71,166,55.38,84.66,56.44,89.97,91.08
I1023,mXCycrCsabxmoUQ,Senior,Male,99385389738,true,54484.23,Get stronger!,27,174,70.69,88.74,59.16,94.31,490.26
I1024,nhvki63kDYI,Senior,Female,57533227462,true,56711.45,"HIT, YYDS",51,154,53.91,78.54,52.36,83.47,483.13
I1025,Uo431qv3K6sU1,Junior,Female,81874256533,true,24098.82,Wuhu!Take off!,70,159,60.5,81.09,54.06,86.18,338.77
I1026,5cMTtaRqEN,Senior,Female,25256342536,true,54974.00,Is there anyone stronger than me?,22,153,48.18,78.03,52.02,82.93,327.86
I1027,8Gp1w8,Junior,Female,39883276115,true,21624.50,"HIT, YYDS",62,150,49.56,76.5,51,81.3,251.61
I1028,Jxrhvo41CtWD,Normal,Female,72467622465,true,1953.34,"HIT, YYDS",62,157,58.9,80.07,53.38,85.09,77.68
I1029,XPgC44,Senior,Female,34145816234,true,51924.21,Get stronger!,52,166,59.49,84.66,56.44,89.97,411.27
I1030,nvcDfabgsNx,Junior,Female,95287794915,true,24163.87,Wuhu!Take off!,67,172,62.69,87.72,58.48,93.22,265.18
I1031,MrE4kyej,Senior,Male,29261983344,true,54601.43,"HIT, YYDS",44,172,67.38,87.72,58.48,93.22,458.1
I1032,hAJagt3tt,Senior,Male,33687655415,true,51505.93,Damn it! Get thinner!,35,165,51.62,84.15,56.1,89.43,382.07
I1033,LRgYsnVqGPhK6FCs,Senior,Male,59312882964,true,54795.01,Get stronger!,75,187,68.25,95.37,63.58,101.35,364.91
I1034,OrDPzhAN6if,Normal,Male,54468177289,true,1178.47,"Song Bao, my superman!",69,182,73.92,92.82,61.88,98.64,117.45
I1035,LVopCJ,Normal,Male,11991944599,true,4693.12,Does anyone work out with me?,29,184,77.66,93.84,62.56,99.73,147.1
I1036,4fuwBDhi76GxENG,Junior,Male,36555686888,true,24149.25,"HIT, YYDS",25,177,63.81,90.27,60.18,95.93,255.39
I1037,D4t55Fk,Junior,Female,82487235664,true,25055.21,Add muscle!Add muscle!Add muscle!,59,173,65.9,88.23,58.82,93.77,348.01
I1038,ElWBy0q5mQ,Senior,Male,95346652626,true,54366.03,"Song Bao, my superman!",53,181,66.06,92.31,61.54,98.1,355.34
I1039,9rkHa6,Junior,Female,22933127718,true,25688.33,Is there anyone stronger than me?,33,163,61.06,83.13,55.42,88.35,342.48
I1040,8INVBBXl62,Normal,Male,61118274873,true,3077.34,Does anyone work out with me?,62,188,82.02,95.88,63.92,101.9,63.53
I1041,3FWAxeuCDqvFTpCU,Junior,Female,53486843389,true,24476.46,Wuhu!Take off!,63,168,55.66,85.68,57.12,91.06,254.6
I1042,0qHYef8oi,Normal,Male,47498488728,true,2447.77,Wuhu!Take off!,59,177,73.86,90.27,60.18,95.93,130.66
I1043,X0zvtJs,Junior,Male,81568811845,true,24310.99,Add muscle!Add muscle!Add muscle!,32,181,68.7,92.31,61.54,98.1,363
I1044,2S9UT97QF1M8s,Senior,Male,63233999813,true,52331.43,Add muscle!Add muscle!Add muscle!,25,182,70.1,92.82,61.88,98.64,427.91
I1045,pbvvAe,Junior,Male,83682833295,true,20395.11,Does anyone work out with me?,61,188,79.31,95.88,63.92,101.9,245.9
I1046,NXlcaX,Senior,Female,94363288825,true,55316.18,Is there anyone stronger than me?,27,169,53.95,86.19,57.46,91.6,321.18
I1047,Kb50DC,Junior,Male,95185197223,true,23362.56,"Xiaoxuheng, the pride of Koreans!",47,178,62.11,90.78,60.52,96.48,360.56
I1048,BWp9t61Pv5IRn92D,Senior,Female,91589161435,true,55575.65,Does anyone work out with me?,66,172,54.05,87.72,58.48,93.22,468.92
I1049,Rkf990xrH,Senior,Male,46535978466,true,53899.78,Add muscle!Add muscle!Add muscle!,34,174,57.97,88.74,59.16,94.31,458.18
I1050,YOflXEYCsYrP,Senior,Male,99488762734,true,51321.99,Does anyone work out with me?,74,173,61.78,88.23,58.82,93.77,327.59
